NombreBeca,AnioBecariosConfirmados,PaisEstudio,BecariosNuevos,BecariosContinuadores,TotalBecarios,Modalidad
Beca Posgrado,2020,Alemania,4,2,6,Beca Posgrado Internacional
Beca Posgrado,2020,Argentina,19,27,46,Beca Posgrado Internacional
Beca Posgrado,2020,Australia,15,34,49,Beca Posgrado Internacional
Beca Posgrado,2020,Bélgica,1,2,3,Beca Posgrado Internacional
Beca Posgrado,2020,Brasil,5,9,14,Beca Posgrado Internacional
Beca Posgrado,2020,Canadá,4,3,7,Beca Posgrado Internacional
Beca Posgrado,2020,Chile,8,34,42,Beca Posgrado Internacional
Beca Posgrado,2020,Colombia,0,2,2,Beca Posgrado Internacional
Beca Posgrado,2020,España,47,114,161,Beca Posgrado Internacional
Beca Posgrado,2020,Estados Unidos,16,30,46,Beca Posgrado Internacional
Beca Posgrado,2020,Finlandia,0,1,1,Beca Posgrado Internacional
Beca Posgrado,2020,Francia,4,6,10,Beca Posgrado Internacional
Beca Posgrado,2020,Holanda,3,8,11,Beca Posgrado Internacional
Beca Posgrado,2020,Hong Kong,0,1,1,Beca Posgrado Internacional
Beca Posgrado,2020,Italia,0,1,1,Beca Posgrado Internacional
Beca Posgrado,2020,Portugal,1,1,2,Beca Posgrado Internacional
Beca Posgrado,2020,Reino Unido,25,29,54,Beca Posgrado Internacional
Beca Posgrado,2020,Suiza,0,1,1,Beca Posgrado Internacional
