NombreBeca,Institucion,AnioBecariosConfirmados,Pais,CantidadBecarios
Becas en el Extranjero,Internacional,2021,España,44
Becas en el Extranjero,Internacional,2021,Estados Unidos,27
Becas en el Extranjero,Internacional,2021,Argentina,21
Becas en el Extranjero,Internacional,2021,Reino Unido,20
Becas en el Extranjero,Internacional,2021,Australia,15
Becas en el Extranjero,Internacional,2021,Países Bajos,6
Becas en el Extranjero,Internacional,2021,Brasil,4
Becas en el Extranjero,Internacional,2021,Francia,4
Becas en el Extranjero,Internacional,2021,Suiza,3
Becas en el Extranjero,Internacional,2021,Chile,3
Becas en el Extranjero,Internacional,2021,Canadá,2
Becas en el Extranjero,Internacional,2021,Taiwán,1
Becas en el Extranjero,Internacional,2021,Alemania,1
Becas en el Extranjero,Internacional,2021,Total,151
