NombreBeca,AnioBecariosConfirmados,Departamento,CantidadCreditos,MontoDesembolsado
Crédito General,2021,Lima,1536,14473084.0
Crédito General,2021,Arequipa,159,956535.0
Crédito General,2021,Cusco,147,891392.0
Crédito General,2021,Junín,108,748397.0
Crédito General,2021,Callao,99,995624.0
Crédito General,2021,La Libertad,79,417666.0
Crédito General,2021,Lambayeque,65,345694.0
Crédito General,2021,Piura,64,362712.0
Crédito General,2021,Puno,64,356738.0
Crédito General,2021,Áncash,63,377444.0
Crédito General,2021,Cajamarca,55,214785.0
Crédito General,2021,Tacna,50,314935.0
Crédito General,2021,San Martín,38,205093.0
Crédito General,2021,Ayacucho,38,223318.0
Crédito General,2021,Ica,37,306075.0
Crédito General,2021,Apurímac,32,146371.0
Crédito General,2021,Huánuco,31,201787.0
Crédito General,2021,Amazonas,24,124489.0
Crédito General,2021,Tumbes,22,90304.0
Crédito General,2021,Loreto,19,65164.0
Crédito General,2021,Ucayali,15,81592.0
Crédito General,2021,Huancavelica,13,73536.0
Crédito General,2021,Madre de Dios,12,42028.0
Crédito General,2021,Moquegua,10,47162.0
Crédito General,2021,Pasco,7,26159.0
Crédito General,2021,Total,2787,22088085.0
Crédito Talento,2021,Lima,80,393262.0
Crédito Talento,2021,Piura,11,33947.0
Crédito Talento,2021,Junín,10,56808.0
Crédito Talento,2021,Lambayeque,10,36660.0
Crédito Talento,2021,Arequipa,9,41098.0
Crédito Talento,2021,Callao,8,44926.0
Crédito Talento,2021,Cusco,8,29505.0
Crédito Talento,2021,La Libertad,8,12870.0
Crédito Talento,2021,Cajamarca,6,26893.0
Crédito Talento,2021,Áncash,6,21097.0
Crédito Talento,2021,Ica,6,17701.0
Crédito Talento,2021,Puno,4,4264.0
Crédito Talento,2021,Tacna,4,12337.0
Crédito Talento,2021,Loreto,4,15858.0
Crédito Talento,2021,San Martín,3,0.0
Crédito Talento,2021,Ucayali,3,10411.0
Crédito Talento,2021,Tumbes,3,6308.0
Crédito Talento,2021,Huánuco,2,6567.0
Crédito Talento,2021,Apurímac,2,1633.0
Crédito Talento,2021,Moquegua,2,3550.0
Crédito Talento,2021,Amazonas,1,3923.0
Crédito Talento,2021,Madre de Dios,1,971.0
Crédito Talento,2021,Total,191,78590.0
Crédito 18,2021,Lima,170,1862562.0
Crédito 18,2021,Callao,21,265031.0
Crédito 18,2021,Junín,5,76647.0
Crédito 18,2021,Ica,4,42277.0
Crédito 18,2021,Cusco,3,20680.0
Crédito 18,2021,Cajamarca,2,14009.0
Crédito 18,2021,Tacna,2,19022.0
Crédito 18,2021,Huánuco,2,20287.0
Crédito 18,2021,Áncash,2,42077.0
Crédito 18,2021,Lambayeque,2,39047.0
Crédito 18,2021,Pasco,2,0.0
Crédito 18,2021,Huancavelica,2,10395.0
Crédito 18,2021,Puno,2,30116.0
Crédito 18,2021,Ayacucho,1,3761.0
Crédito 18,2021,Madre de Dios,1,266.0
Crédito 18,2021,Piura,1,7050.0
Crédito 18,2021,Arequipa,1,9350.0
Crédito 18,2021,Amazonas,1,0.0
Crédito 18,2021,Ucayali,1,1737.0
Crédito 18,2021,Apurímac,1,1737.0
Crédito 18,2021,La Libertad,1,17553.0
Crédito 18,2021,Total,227,2483604.0
Crédito Continuidad,2021,Lima,1286,12217260.0
Crédito Continuidad,2021,Arequipa,149,906087.0
Crédito Continuidad,2021,Cusco,136,841207.0
Crédito Continuidad,2021,Junín,93,614942.0
Crédito Continuidad,2021,Callao,70,685667.0
Crédito Continuidad,2021,La Libertad,70,387243.0
Crédito Continuidad,2021,Puno,58,322358.0
Crédito Continuidad,2021,Áncash,55,314270.0
Crédito Continuidad,2021,Lambayeque,53,269988.0
Crédito Continuidad,2021,Piura,52,321715.0
Crédito Continuidad,2021,Cajamarca,47,173884.0
Crédito Continuidad,2021,Tacna,44,283576.0
Crédito Continuidad,2021,Ayacucho,37,219557.0
Crédito Continuidad,2021,San Martín,35,205093.0
Crédito Continuidad,2021,Apurímac,29,143001.0
Crédito Continuidad,2021,Ica,27,246097.0
Crédito Continuidad,2021,Huánuco,27,174933.0
Crédito Continuidad,2021,Amazonas,22,120566.0
Crédito Continuidad,2021,Tumbes,19,83996.0
Crédito Continuidad,2021,Loreto,15,49306.0
Crédito Continuidad,2021,Huancavelica,11,63142.0
Crédito Continuidad,2021,Ucayali,11,69443.0
Crédito Continuidad,2021,Madre de Dios,10,40791.0
Crédito Continuidad,2021,Moquegua,8,43612.0
Crédito Continuidad,2021,Pasco,5,26159.0
Crédito Continuidad,2021,Total,2369,18823891.0
