NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,Migracion,CantidadBecarios,TipoBeneficio,MontoDesembolsado
Beca 18,Varias,2021,Amazonas,Varias,General,No especificado,No especificado,457,Beca,
Beca 18,Varias,2021,Áncash,Varias,General,No especificado,No especificado,435,Beca,
Beca 18,Varias,2021,Apurímac,Varias,General,No especificado,No especificado,764,Beca,
Beca 18,Varias,2021,Arequipa,Varias,General,No especificado,No especificado,411,Beca,
Beca 18,Varias,2021,Ayacucho,Varias,General,No especificado,No especificado,921,Beca,
Beca 18,Varias,2021,Cajamarca,Varias,General,No especificado,No especificado,615,Beca,
Beca 18,Varias,2021,Callao,Varias,General,No especificado,No especificado,661,Beca,
Beca 18,Varias,2021,Cusco,Varias,General,No especificado,No especificado,1042,Beca,
Beca 18,Varias,2021,Huancavelica,Varias,General,No especificado,No especificado,692,Beca,
Beca 18,Varias,2021,Huánuco,Varias,General,No especificado,No especificado,737,Beca,
Beca 18,Varias,2021,Ica,Varias,General,No especificado,No especificado,302,Beca,
Beca 18,Varias,2021,Junín,Varias,General,No especificado,No especificado,1463,Beca,
Beca 18,Varias,2021,La Libertad,Varias,General,No especificado,No especificado,404,Beca,
Beca 18,Varias,2021,Lambayeque,Varias,General,No especificado,No especificado,488,Beca,
Beca 18,Varias,2021,Lima,Varias,General,No especificado,No especificado,5417,Beca,
Beca 18,Varias,2021,Loreto,Varias,General,No especificado,No especificado,811,Beca,
Beca 18,Varias,2021,Madre de Dios,Varias,General,No especificado,No especificado,77,Beca,
Beca 18,Varias,2021,Moquegua,Varias,General,No especificado,No especificado,50,Beca,
Beca 18,Varias,2021,Pasco,Varias,General,No especificado,No especificado,287,Beca,
Beca 18,Varias,2021,Piura,Varias,General,No especificado,No especificado,1060,Beca,
Beca 18,Varias,2021,Puno,Varias,General,No especificado,No especificado,680,Beca,
Beca 18,Varias,2021,San Martín,Varias,General,No especificado,No especificado,507,Beca,
Beca 18,Varias,2021,Tacna,Varias,General,No especificado,No especificado,133,Beca,
Beca 18,Varias,2021,Tumbes,Varias,General,No especificado,No especificado,87,Beca,
Beca 18,Varias,2021,Ucayali,Varias,General,No especificado,No especificado,189,Beca,
Beca 18,Varias,2021,Total,Varias,General,No especificado,No especificado,18690,Beca,
Crédito General,Diversas,2021,Lima,Diversas,Crédito Educativo,No especificado,No especificado,1536,Crédito,14473084.0
Crédito General,Diversas,2021,Arequipa,Diversas,Crédito Educativo,No especificado,No especificado,159,Crédito,956535.0
