NombreBeca,Institucion,Carrera,Lugar,CategoriaDeBecas,Anio_Convocatoria,Genero,EstratoSocieconomico,BecasSegunMigracion
Beca 18,Universidad Nacional Agraria La Molina,Medicina Humana,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Ingeniería de Sistemas,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Nacional Pedro Ruiz Gallo,Ingeniería de Minas,Lima,Pregrado,2021,Masculino,Pobre,Migró
Beca 18,Universidad Nacional Jorge Basadre Grohmann,Derecho,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de San Agustín de Arequipa,Ingeniería de Sistemas,Amazonas,Pregrado,2021,Masculino,Pobre,No Migró
Beca 18,Universidad Continental,Ingeniería Industrial,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional San Antonio Abad del Cusco,Gastronomía,Amazonas,Pregrado,2021,Femenino,No Pobre,No Migró
Beca 18,Universidad del Pacífico,Medicina Humana,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Nacional del Centro del Perú,Veterinaria,Lima,Pregrado,2021,Masculino,No Pobre,Migró
Beca 18,Universidad Nacional del Centro del Perú,Derecho,Lima,Pregrado,2021,Masculino,Pobre Extremo,Migró
Beca 18,Universidad Continental,Odontología,Lima,Pregrado,2021,Femenino,No Pobre,Migró
Beca 18,Universidad Nacional de Trujillo,Ingeniería de Minas,Lima,Pregrado,2021,Femenino,Pobre Extremo,Migró
Beca 18,Universidad Nacional del Centro del Perú,Gastronomía,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad César Vallejo,Ingeniería Industrial,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Pontificia Universidad Católica del Perú,Química,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad San Martín de Porres,Medicina Humana,Lima,Pregrado,2021,Femenino,Pobre,Migró
Beca 18,Universidad Continental,Arquitectura,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería de Minas,Amazonas,Pregrado,2021,Femenino,Pobre Extremo,No Migró
