NombreBeca,Institucion,Carrera,Lugar,CategoriaDeBecas,Anio_Convocatoria,Genero,EstratoSocieconomico,BecasSegunMigracion
Beca 18,Universidad Nacional del Altiplano,Ingeniería Ambiental,Piura,Pregrado,2022,Masculino,Pobre Extremo,No Migró
Beca 18,TECSUP,Administración de Negocios Internacionales,Tacna,Pregrado,2022,Masculino,Pobre Extremo,No Migró
Beca 18,TECSUP,Educación Primaria,Tacna,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Enfermería Técnica,Lima,Pregrado,2022,Femenino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Educación Primaria,Lambayeque,Pregrado,2022,Femenino,No pobre,Migró
Beca 18,Universidad del Pacífico,Ingeniería de Sistemas,Áncash,Pregrado,2022,Masculino,Pobre,Migró
Beca 18,Pontificia Universidad Católica del Perú,Administración de Negocios Internacionales,Arequipa,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Agrónoma,Tacna,Pregrado,2022,Masculino,No pobre,No Migró
Beca 18,Universidad Nacional Mayor de San Marcos,Ingeniería Mecánica,Ayacucho,Pregrado,2022,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional de la Amazonía Peruana,Ingeniería Agrónoma,Loreto,Pregrado,2022,Masculino,No pobre,No Migró
Beca 18,Pontificia Universidad Católica del Perú,Ingeniería Mecánica,Lambayeque,Pregrado,2022,Femenino,No pobre,No Migró
Beca 18,Universidad de Lima,Computación e Informática,Huánuco,Pregrado,2022,Femenino,No pobre,Migró
Beca 18,Universidad de Lima,Contabilidad,Madre de Dios,Pregrado,2022,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Ingeniería,Ingeniería Mecánica,Ayacucho,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Ingeniería Agrónoma,Ucayali,Pregrado,2022,Femenino,Pobre,Migró
Beca 18,Instituto de Educación Superior Tecnológico Público,Ingeniería Industrial,Madre de Dios,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad Nacional de Trujillo,Ingeniería Agrónoma,Callao,Pregrado,2022,Masculino,Pobre Extremo,Migró
Beca 18,Instituto Superior Tecnológico Público del Perú,Arquitectura,Ica,Pregrado,2022,Masculino,Pobre,No Migró
Beca 18,Universidad Nacional San Agustín de Arequipa,Derecho,Ica,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad del Pacífico,Medicina Humana,Cusco,Pregrado,2022,Femenino,No pobre,Migró
Beca 18,Universidad de Lima,Ingeniería Electrónica,Amazonas,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,SENATI,Mecatrónica,Áncash,Pregrado,2022,Femenino,Pobre,No Migró
Beca 18,Universidad de Lima,Medicina Humana,Ica,Pregrado,2022,Femenino,No pobre,No Migró
Beca 18,Universidad Nacional del Centro del Perú,Gastronomía,Madre de Dios,Pregrado,2022,Masculino,Pobre Extremo,No Migró
Beca 18,Universidad Nacional de Trujillo,Trabajo Social,Tumbes,Pregrado,2022,Masculino,Pobre Extremo,No Migró
