PaisEstudios,Maestria,Doctorado,Total,Pagina,Anio,Modalidad
Estados Unidos,28,6,34,28,2022,Internacional
España,23,7,30,28,2022,Internacional
Argentina,24,0,24,28,2022,Internacional
Reino Unido,19,3,22,28,2022,Internacional
Australia,12,0,12,28,2022,Internacional
Chile,6,1,7,28,2022,Internacional
Países Bajos,3,3,6,28,2022,Internacional
Brasil,3,2,5,28,2022,Internacional
Francia,2,1,3,28,2022,Internacional
México,2,0,2,28,2022,Internacional
Suecia,2,0,2,28,2022,Internacional
Rusia,0,1,1,28,2022,Internacional
Alemania,1,0,1,28,2022,Internacional
Italia,1,0,1,28,2022,Internacional
Total,126,24,150,28,2022,Internacional
