TipoBeca,NombreBeca,Meta,BecasOtorgadas,PorcentajeOtorgamiento,Pagina,Anio
Pregrado,Beca 18,5000,5000,100.00 %,18,2022
,- Modalidad Ordinaria,3450,,,18,2022
,- Modalidad Especial,1550,,,18,2022
Posgrado,Beca Generación del Bicentenario,150,150,100.00 %,18,2022
Especiales,Beca Inclusión Técnico Productiva,100,99,99.00 %,18,2022
,"Beca Inclusión para Carreras Universitarias y
Profesionales Técnicas",10,10,100.00 %,18,2022
,"Beca para Situaciones Especiales en Formación
Técnico Productiva - Repared.",120,119,99.17 %,18,2022
,"Beca Técnico Productiva para Jóvenes de Pueblos
Indígenas u Originarios en Situaciones Especiales.",110,107,97.27 %,18,2022
,Beca Perú*,79,48,60.76 %,18,2022
,Beca Alianza del Pacífico,50,30,60.00 %,18,2022
,Beca Permanencia de Estudios Nacional,7228,7230,100.03 %,18,2022
,Beca Continuidad de Estudios,12 000,11 997,99.98 %,18,2022
,Beca Excelencia Académica para Hijos de Docentes,400,400,100.00 %,18,2022
,Total general,25 247,25 190,99.77 %,18,2022
