"Tipo de
Beca",Nombre de la beca,Meta,"Becas
otorgadas",Otorgamiento(%),pagina_origen
Pregrado,Beca 18,5000,5000,100.00 %,18
,- Modalidad Ordinaria,3450,,,18
,- Modalidad Especial,1550,,,18
Posgrado,Beca Generación del Bicentenario,150,150,100.00 %,18
Especiales,Beca Inclusión Técnico Productiva,100,99,99.00 %,18
,"Beca Inclusión para Carreras Universitarias y
Profesionales Técnicas",10,10,100.00 %,18
,"Beca para Situaciones Especiales en Formación
Técnico Productiva - Repared.",120,119,99.17 %,18
,"Beca Técnico Productiva para Jóvenes de Pueblos
Indígenas u Originarios en Situaciones Especiales.",110,107,97.27 %,18
,Beca Perú*,79,48,60.76 %,18
,Beca Alianza del Pacífico,50,30,60.00 %,18
,Beca Permanencia de Estudios Nacional,7228,7230,100.03 %,18
,Beca Continuidad de Estudios,12 000,11 997,99.98 %,18
,Beca Excelencia Académica para Hijos de Docentes,400,400,100.00 %,18
,Total general,25 247,25 190,99.77 %,18
