Departamento,Aptos,,Asistentes al examen,,Inasistentes,,pagina_origen
,N.˚,%,N.˚,%,N.˚,%,30
Amazonas,119,2.2,93,2.1,26,21.8,30
Áncash,198,3.6,162,3.6,36,18.2,30
Apurímac,182,3.3,153,3.4,29,15.9,30
Arequipa,235,4.3,206,4.6,29,12.3,30
Ayacucho,214,3.9,179,4.0,35,16.4,30
Cajamarca,316,5.8,219,4.9,97,30.7,30
Cusco,342,6.3,299,6.6,43,12.6,30
Huancavelica,81,1.5,66,1.5,15,18.5,30
Huánuco,184,3.4,159,3.5,25,13.6,30
Ica,167,3.1,129,2.9,38,22.8,30
Junín,468,8.6,393,8.7,75,16.0,30
La Libertad,270,4.9,234,5.2,36,13.3,30
Lambayeque,206,3.8,157,3.5,49,23.8,30
Lima - Callao,1412,25.8,1154,25.6,258,18.3,30
Loreto,103,1.9,86,1.9,17,16.5,30
Madre de Dios,16,0.3,14,0.3,2,12.5,30
Moquegua,37,0.7,29,0.6,8,21.6,30
Pasco,71,1.3,57,1.3,14,19.7,30
Piura,225,4.1,189,4.2,36,16.0,30
Puno,310,5.7,272,6.0,38,12.3,30
San Martín,151,2.8,127,2.8,24,15.9,30
Tacna,56,1.0,46,1.0,10,17.9,30
Tumbes,39,0.7,33,0.7,6,15.4,30
Ucayali,63,1.2,58,1.3,5,7.9,30
Total general,5465,100.0 %,4514,100.0 %,951,17.4 %,30
