"Cartera de crédito /
Modalidad","N.º de
contratos","Monto
Otorgado","Monto
Recuperado",Saldo Capital,pagina_origen
PRONABEC,361,8 934 656.10,4 740 037.28,4 194 618.82,40
Crédito Ordinario,257,5 421 048.92,3 916 702.36,1 504 346.56,40
1. Al Día,67,2 378 497.20,1 911 538.42,466 958.78,40
2. 1-60,42,1 295 000.48,935 887.37,359 113.11,40
3. 61-90,4,48 784.76,39 136.70,9648.06,40
4. 91-120,3,103 200.00,75 760.34,27 439.66,40
5. Morosos +120,68,868 435.60,527 336.86,341098.74,40
6. En Ejecución Coactiva,73,727 130.88,427 042.67,300 088.21,40
Crédito 18,98,3 467 966.91,823 239.10,2 644 727.81,40
1. Al Día,71,2 615 770.38,656 346.15,1 959 424.23,40
2. 1-60,19,637 145.57,137 596.44,499 549.13,40
3. 61-90,2,62 591.23,6915.64,55 675.59,40
5. Morosos +120,6,152 459.73,22 380.87,130 078.86,40
Crédito Continuidad,6,45 640.27,95.82,45 544.45,40
1. Al Día,6,45 640.27,95.82,45 544.45,40
INABEC-OBEC,5797,13 378 439.60,5 054 501.43,8 323 938.17,40
Crédito Ordinario,5416,12 668 920.18,4 609 029.47,8 059 890.71,40
1. Al Día,11,35 671.30,22 062.46,13 608.84,40
2. 1-60,2,10 600.00,7515.66,3084.34,40
5. Morosos +120,2263,5 742 889.86,2 953 490.88,2 789 398.98,40
6. En Ejecución Coactiva,3140,6 879 759.02,1 625 960.47,5 253 798.55,40
Crédito Convenio,381,709 519.42,445 471.96,264 047.46,40
5. Morosos +120,373,696 765.53,439 198.38,257 567.15,40
6. En Ejecución Coactiva,8,12 753.89,6273.58,6480.31,40
Total general,6158,22 313 095.70,9 794 538.71,12 518 556.99,40
