Tipo de Beca,Nombre de la beca,"Becarios/as
Continuadores","Cantidad de becas
otorgadas 2022","Total becarios/as
activos",pagina_origen
Pregrado,Beca 18,16 578,5000,21 578,55
Pregrado,"ExcelenciaAcadémica
Internacional Francia",19,,19,55
Pregrado,Excelencia Académica,2,,2,55
Pregrado,"Permanencia para estudios de
arte",4,,4,55
Pregrado,Beca Traslado,785,,785,55
Pregrado,Beca Deporte Escolar,91,,91,55
Pregrado,Beca Talento Escolar,50,,50,55
Pregrado,Beca Vocación de Maestro,407,,407,55
Pregrado,Mujeres en Ciencias,139,,139,55
Posgrado,"Beca Generación del
Bicentenario",297,150,447,55
Posgrado,Beca Aleprona,1,,1,55
Posgrado,"Beca Complementaria de la
Amistad Peruano Ecuatoriana",-,,-,55
Posgrado,Beca Docente Universitario,-,,-,55
Especiales,Beca Permanencia,21 299,7230,28 529,55
Especiales,"Beca Excelencia Académica
Hijos de Docentes",1808,400,2208,55
Especiales,Beca Continuidad,9344,11 997,21 341,55
Especiales,"Beca técnico productiva -
REPARED",125,119,244,55
Especiales,"Beca inclusión para carreras
universitarias o profesionales
técnicas",11,10,21,55
Especiales,"Beca inclusión técnico
productiva",45,99,144,55
Especiales,Beca técnico productiva - CNA,-,107,107,55
