NombreBeca,Anio,Departamento,CantidadBecarios,Porcentaje
Beca 18,2023,Lima,905,18.11
Beca 18,2023,Puno,362,7.24
Beca 18,2023,Cusco,305,6.1
Beca 18,2023,Junín,279,5.58
Beca 18,2023,Cajamarca,261,5.22
Beca 18,2023,Ayacucho,254,5.08
Beca 18,2023,Arequipa,253,5.06
Beca 18,2023,La Libertad,245,4.9
Beca 18,2023,Piura,213,4.26
Beca 18,2023,Huánuco,196,3.92
Beca 18,2023,Áncash,185,3.7
Beca 18,2023,Loreto,183,3.66
Beca 18,2023,Apurímac,174,3.48
Beca 18,2023,San Martín,151,3.02
Beca 18,2023,Huancavelica,133,2.66
Beca 18,2023,Lambayeque,127,2.54
Beca 18,2023,Ica,116,2.32
Beca 18,2023,Amazonas,81,1.62
Beca 18,2023,Ucayali,81,1.62
Beca 18,2023,Pasco,73,1.46
Beca 18,2023,Tacna,68,1.36
Beca 18,2023,Callao,65,1.3
Beca 18,2023,Tumbes,59,1.18
Beca 18,2023,Madre de Dios,43,0.86
Beca 18,2023,Moquegua,36,0.72
