NombreBeca,Anio,Departamento,CantidadBecarios,Porcentaje,Ranking,Categoria
Beca 18,2023,Lima,905,18.11,1,Alto
Beca 18,2023,Puno,362,7.24,2,Alto
Beca 18,2023,Cusco,305,6.1,3,Alto
Beca 18,2023,Junín,279,5.58,4,Medio
Beca 18,2023,Cajamarca,261,5.22,5,Medio
Beca 18,2023,Ayacucho,254,5.08,6,Medio
Beca 18,2023,Arequipa,253,5.06,7,Medio
Beca 18,2023,La Libertad,245,4.9,8,Medio
Beca 18,2023,Piura,213,4.26,9,Medio
Beca 18,2023,Huánuco,196,3.92,10,Medio
Beca 18,2023,Áncash,185,3.7,11,Medio
Beca 18,2023,Loreto,183,3.66,12,Medio
Beca 18,2023,Apurímac,174,3.48,13,Medio
Beca 18,2023,San Martín,151,3.02,14,Medio
Beca 18,2023,Huancavelica,133,2.66,15,Bajo
Beca 18,2023,Lambayeque,127,2.54,16,Bajo
Beca 18,2023,Ica,116,2.32,17,Bajo
Beca 18,2023,Amazonas,81,1.62,18,Bajo
Beca 18,2023,Ucayali,81,1.62,18,Bajo
Beca 18,2023,Pasco,73,1.46,20,Bajo
Beca 18,2023,Tacna,68,1.36,21,Bajo
Beca 18,2023,Callao,65,1.3,22,Bajo
Beca 18,2023,Tumbes,59,1.18,23,Bajo
Beca 18,2023,Madre de Dios,43,0.86,24,Bajo
Beca 18,2023,Moquegua,36,0.72,25,Bajo
