"Región
Procedencia",Beneficiarios,,"Monto
Desembolsado
(S/)","Participación
(%)",Pagina,"Monto
Desembolsado (S/)"
,Instituto,Universidad,,,52,
LIMA,1,174,2 916 759.96,43.56 %,52,
CUSCO,,37,392 226.15,5.86 %,52,
PIURA,,36,434 008.04,6.48 %,52,
LAMBAYEQUE,,32,334 295.31,4.99 %,52,
JUNÍN,,27,298 154.00,4.45 %,52,
CALLAO,,26,429 454.93,6.41 %,52,
LA LIBERTAD,,25,265 461.56,3.96 %,52,
AREQUIPA,,20,180 474.31,2.70 %,52,
PUNO,,17,184 369.14,2.75 %,52,
CAJAMARCA,,17,188 831.64,2.82 %,52,
SAN MARTÍN,,16,125 082.25,1.87 %,52,
AMAZONAS,,13,168 802.87,2.52 %,52,
ICA,,11,172 372.83,2.57 %,52,
AYACUCHO,,10,99 972.33,1.49 %,52,
ÁNCASH,,9,105 471.99,1.58 %,52,
LORETO,,8,48 159.66,0.72 %,52,
HUÁNUCO,,7,79 401.12,1.19 %,52,
TUMBES,,4,36 527.09,0.55 %,52,
APURÍMAC,,4,102 433.95,1.53 %,52,
PASCO,,4,33 976.35,0.5 1%,52,
UCAYALI,,4,21 787.45,0.33 %,52,
HUANCAVELICA,,3,31 072.90,0.46 %,52,
TACNA,,2,17 911.18,0.27 %,52,
MOQUEGUA,1,1,11 415.09,0.17 %,52,
MADRE DE DIOS,,2,17 174.88,0.26 %,52,
Total general,2,509,6 695 596.99,100.00 %,52,
,Instituto,Universidad,,,55,
LIMA,,55,,62.07 %,55,S/ 519 294.71
CALLAO,,9,,11.26 %,55,S/ 94 238.71
ICA,,3,,3.62 %,55,S/ 30 285.98
JUNÍN,,3,,3.24 %,55,S/ 27 084.76
HUÁNUCO,,2,,2.33 %,55,S/ 19 506.30
ÁNCASH,,2,,3.06 %,55,S/ 25 633.40
CUSCO,,2,,1.91 %,55,S/ 16 016.05
HUANCAVELICA,,2,,1.75 %,55,S/ 14 640.10
UCAYALI,,1,,1.79 %,55,S/ 14 943.60
PUNO,,1,,1.31 %,55,S/ 10 947.00
AMAZONAS,,1,,1.43 %,55,S/ 11 948.40
APURÍMAC,,1,,1.53 %,55,S/ 12 826.50
TACNA,,1,,1.04 %,55,S/ 8741.78
AREQUIPA,,1,,2.28 %,55,S/ 19 090.00
CAJAMARCA,,1,,1.37 %,55,S/ 11 489.26
LAMBAYEQUE,,1,,0.00 %,55,S/ -
HUÁNUCO,,7,,1.19 %,55,79 401.12
TUMBES,,4,,0.55 %,55,36 527.09
APURÍMAC,,4,,1.53 %,55,102 433.95
PASCO,,4,,0.5 1%,55,33 976.35
UCAYALI,,4,,0.33 %,55,21 787.45
HUANCAVELICA,,3,,0.46 %,55,31 072.90
TACNA,,2,,0.27 %,55,17 911.18
MOQUEGUA,1,1,,0.17 %,55,11 415.09
MADRE DE DIOS,,2,,0.26 %,55,17 174.88
Total general,0,86,,100.00 %,55,S/ 836 686.55
,Instituto,Universidad,,,58,
LIMA,,92,,60.31 %,58,S/ 300 930.11
CALLAO,,11,,8.35 %,58,S/ 41 645.57
PUNO,1,5,,4.49 %,58,S/ 22 410.93
CUSCO,1,5,,3.58 %,58,S/ 17 875.37
LAMBAYEQUE,2,3,,5.54 %,58,S/ 27 652.32
PIURA,,4,,2.14 %,58,S/ 10 664.53
ICA,,4,,1.92 %,58,S/ 9571.93
ANCASH,,3,,1.48 %,58,S/ 7364.93
JUNIN,,3,,2.22 %,58,S/ 11 075.56
APURIMAC,,2,,1.08 %,58,S/ 5387.57
AREQUIPA,1,1,,1.49 %,58,"S/ ,452.79"
CAJAMARCA,,2,,2.27 %,58,S/ 11 344.33
AMAZONAS,,2,,0.12 %,58,S/ 576.14
SAN MARTIN,,2,,2.33 %,58,S/ 11 615.87
LA LIBERTAD,,2,,0.00 %,58,S/ -
AYACUCHO,,2,,2.36 %,58,S/ 11 758.91
LORETO,,1,,0.33 %,58,S/ 1667.00
MOQUEGUA,1,,,0.00 %,58,S/ -
Total general,6,144,,100.00 %,58,S/ 498 993.86
