NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,BecasSegunMigracion,Pagina
Pregrado,,2024,,,Pregrado,,,27
Posgrado,,2024,,,Posgrado,,,27
Especiales,,2024,,,Especiales,,,27
11,,2024,,,,,,39
17,,2024,,,,,,39
18,,2024,,,,,,39
46,,2024,,,,,,39
"Mínimo diez (10) y máximo cincuenta (50) becas a jóvenes
con la condición de postulantes del concurso Beca 18
que no obtuvieron una beca (no seleccionados) siempre
que cumplieran con los requisitos.",Universidad Privada del Norte S.A.C.,2024,,,,,,86
15 becas,Universidad San Ignacio de Loyola S.R.L.,2024,,,,,,86
16 becas,Universidad Científica del Sur S.A.C.,2024,,,,,,86
"Mínimo diez (10) y máximo cincuenta (50) becas a jóvenes
con la condición de postulantes del concurso Beca 18
que no obtuvieron una beca (no seleccionados) siempre
que cumplieran con los requisitos.",Universidad Peruana de Ciencias Aplicadas S.A.C.,2024,,,,,,86
