NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,BecasSegunMigracion,CantidadBecarios,FuentePagina
,,2024,Amazonas,,,,,16,52
,,2024,Ancash,,,,,3,58
,,2024,Apurimac,,,,,2,58
,,2024,Apurímac,,,,,9,52
,,2024,Arequipa,,,,,22,52
,,2024,Ayacucho,,,,,12,52
,,2024,Cajamarca,,,,,20,52
,,2024,Callao,,,,,46,52
,,2024,Cusco,,,,,40,52
,,2024,Huancavelica,,,,,8,52
,,2024,Huánuco,,,,,16,52
,,2024,Ica,,,,,90,8
,,2024,Junin,,,,,3,58
,,2024,Junín,,,,,30,52
,,2024,La Libertad,,,,,27,52
,,2024,Lambayeque,,,,,35,52
,,2024,Lima,,,,,148,52
,,2024,Loreto,,,,,9,52
,,2024,Madre De Dios,,,,,4,52
,,2024,Moquegua,,,,,3,52
,,2024,Pasco,,,,,8,52
,,2024,Piura,,,,,40,52
,,2024,Puno,,,,,19,52
,,2024,San Martin,,,,,2,58
,,2024,San Martín,,,,,16,52
,,2024,Tacna,,,,,5,52
,,2024,Tumbes,,,,,8,52
,,2024,Ucayali,,,,,9,52
,,2024,Áncash,,,,,11,52
,,2024,,,,,,890,12
Pregrado,,2024,,,,,,10,27
,,2024,LIMA,,,,,1,52
,,2024,CUSCO,,,,,1,52
,,2024,PIURA,,,,,1,52
,,2024,LAMBAYEQUE,,,,,1,52
,,2024,JUNÍN,,,,,1,52
,,2024,CALLAO,,,,,1,52
,,2024,LA LIBERTAD,,,,,1,52
,,2024,AREQUIPA,,,,,1,52
,,2024,PUNO,,,,,1,52
,,2024,CAJAMARCA,,,,,1,52
,,2024,SAN MARTÍN,,,,,1,52
,,2024,AMAZONAS,,,,,1,52
,,2024,ICA,,,,,1,52
,,2024,AYACUCHO,,,,,1,52
,,2024,ÁNCASH,,,,,1,52
,,2024,LORETO,,,,,1,52
,,2024,HUÁNUCO,,,,,1,52
,,2024,TUMBES,,,,,1,52
,,2024,APURÍMAC,,,,,1,52
,,2024,PASCO,,,,,1,52
,,2024,UCAYALI,,,,,1,52
,,2024,HUANCAVELICA,,,,,1,52
,,2024,TACNA,,,,,1,52
,,2024,MOQUEGUA,,,,,1,52
,,2024,MADRE DE DIOS,,,,,1,52
,,2024,Total general,,,,,1,52
,,2024,LIMA,,,,,1,55
,,2024,CALLAO,,,,,1,55
,,2024,ICA,,,,,1,55
,,2024,JUNÍN,,,,,1,55
,,2024,HUÁNUCO,,,,,1,55
,,2024,ÁNCASH,,,,,1,55
,,2024,CUSCO,,,,,1,55
,,2024,HUANCAVELICA,,,,,1,55
,,2024,UCAYALI,,,,,1,55
,,2024,PUNO,,,,,1,55
,,2024,AMAZONAS,,,,,1,55
,,2024,APURÍMAC,,,,,1,55
,,2024,TACNA,,,,,1,55
,,2024,AREQUIPA,,,,,1,55
,,2024,CAJAMARCA,,,,,1,55
,,2024,LAMBAYEQUE,,,,,1,55
,,2024,TUMBES,,,,,1,55
,,2024,PASCO,,,,,1,55
,,2024,MOQUEGUA,,,,,1,55
,,2024,MADRE DE DIOS,,,,,1,55
,,2024,Total general,,,,,1,55
,,2024,LIMA,,,,,1,58
,,2024,CALLAO,,,,,1,58
,,2024,PUNO,,,,,1,58
,,2024,CUSCO,,,,,1,58
,,2024,LAMBAYEQUE,,,,,1,58
,,2024,PIURA,,,,,1,58
,,2024,ICA,,,,,1,58
,,2024,ANCASH,,,,,1,58
,,2024,JUNIN,,,,,1,58
,,2024,APURIMAC,,,,,1,58
,,2024,AREQUIPA,,,,,1,58
,,2024,CAJAMARCA,,,,,1,58
,,2024,AMAZONAS,,,,,1,58
,,2024,SAN MARTIN,,,,,1,58
,,2024,LA LIBERTAD,,,,,1,58
,,2024,AYACUCHO,,,,,1,58
,,2024,LORETO,,,,,1,58
,,2024,MOQUEGUA,,,,,1,58
,,2024,Total general,,,,,1,58
