nombre_universidad,tipo_universidad,quintil,estado,ubicacion,fuente,convocatoria,modalidad,nota_minima,requisitos_adicionales,descripcion
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de Barranca,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Hermilio Valdizán,Pública,5,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de San Agustín,Pública,5,Licenciada,Arequipa,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
