Nombrebeca,Institucion,Aniobecariosconfirmados,Departamento,Carrera,Modalidad,Estrato Socioeconomico,Migracion
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,EIB,Variable,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,Protección,Variable,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,CNA y PA,Variable,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,FF.AA.,Variable,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Tecnológica de los Andes,2025,Abancay,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,EIB,Variable,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,Protección,Variable,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,CNA y PA,Variable,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,FF.AA.,Variable,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Nacional José María Arguedas,2025,Andahuaylas,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional de San Agustín,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Católica de Santa María,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Católica San Pablo,2025,Arequipa,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,EIB,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional de San Cristóbal de Huamanga,2025,Ayacucho,Según modalidad,Vraem,Variable según modalidad,Posible migración
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,EIB,Variable,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Protección,Variable,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,CNA y PA,Variable,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,FF.AA.,Variable,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,EIB,Variable,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Protección,Variable,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,CNA y PA,Variable,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,FF.AA.,Variable,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Vraem,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
