codigo_beca,nombre_beca,tipo_instituciones,nombre_institucion,tipo_institucion,ubicacion,region,programa,modalidad_programa
beca_peru,Beca Perú,Universidades Privadas Participantes,Pontificia Universidad Católica del Perú (PUCP),Privada,Lima,Lima,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Peruana de Ciencias Aplicadas (UPC),Privada,Lima,Lima,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Antonio Ruiz de Montoya (UARM),Privada,Lima,Lima,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Arequipa,Privada,Arequipa,Arequipa,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Andina del Cusco (UAC),Privada,Cusco,Cusco,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Lambayeque,Privada,Lambayeque,Lambayeque,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en La Libertad,Privada,La Libertad,La Libertad,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Piura,Privada,Piura,Piura,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en San Martín,Privada,San Martín,San Martín,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Junín,Privada,Junín,Junín,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Puno,Privada,Puno,Puno,Pregrado,Presencial
beca_peru,Beca Perú,Universidades Privadas Participantes,Universidad Privada en Huánuco,Privada,Huánuco,Huánuco,Pregrado,Presencial
