codigo_beca,nombre_beca,tipo_instituciones,nombre_institucion,tipo_institucion,ubicacion,region,programa,modalidad_programa
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada ADEX,Privada,"San Borja, Lima",Lima,Administración de Negocios Internacionales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada ADEX,Privada,"San Borja, Lima",Lima,Gestión Administrativa,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada ADEX,Privada,"San Borja, Lima",Lima,Gestión Logística,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada ADEX,Privada,"San Borja, Lima",Lima,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Corriente Alterna,Privada,"La Victoria, Lima",Lima,Diseño de Interiores,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Corriente Alterna,Privada,"La Victoria, Lima",Lima,Diseño Gráfico,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Corriente Alterna,Privada,"La Victoria, Lima",Lima,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Administración de Negocios Bancarios y Financieros,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Administración de Negocios Internacionales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Contabilidad,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Desarrollo de Sistemas de Información,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Diseño de Interiores,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Diseño Gráfico Visual,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Gestión Administrativa,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Gestión de Recursos Humanos,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada IDAT,Privada,"San Juan de Miraflores, Lima",Lima,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Animación Digital,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Cinematografía,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Comunicación Audiovisual,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Diseño de Interiores,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Diseño de Videojuegos y Entretenimiento Digital,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Diseño Gráfico,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Fotografía e Imagen Digital,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,"Magdalena del Mar y Santiago de Surco, Lima",Lima,Publicidad y Medios Digitales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,Arequipa,Arequipa,Animación Digital,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,Arequipa,Arequipa,Diseño de Interiores,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,Arequipa,Arequipa,Diseño Gráfico,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,Arequipa,Arequipa,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Toulouse Lautrec,Privada,Arequipa,Arequipa,Publicidad y Medios Digitales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Administración de Negocios Bancarios y Financieros,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Administración de Negocios Internacionales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Administración de Servicios de Hostelería y Restaurantes,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Desarrollo de Sistemas de Información,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Diseño de Modas,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Diseño Gráfico y Multimedia,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Diseño y Decoración de Interiores,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Gastronomía,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Gestión Administrativa,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Guía Oficial de Turismo,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado del Sur,Privada,Arequipa,Arequipa,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Khipu,Privada,Cusco,Cusco,Administración de Empresas,Presencial
beca_tec,Beca Tec,Institutos Técnicos,EEST Privada Khipu,Privada,Cusco,Cusco,Administración de Hoteles y Restaurantes,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Desarrollo de Sistemas de Información,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Gastronomía,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Guía Oficial de Turismo,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Administración de Negocios Bancarios y Financieros,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Administración de Negocios Internacionales,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Contabilidad,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Khipu,Privada,Cusco y San Sebastián,Cusco,Marketing,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado Cumbre,Privada,Chiclayo,Lambayeque,Gastronomía,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Administración de Empresas,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Administración de Servicios de Hostelería y Restaurantes,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Contabilidad,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Enfermería Técnica,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Farmacia Técnica,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Fisioterapia y Rehabilitación,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Gastronomía,Presencial
beca_tec,Beca Tec,Institutos Técnicos,IES Privado de Emprendedores ISAG,Privada,Chiclayo y La Victoria,Lambayeque,Desarrollo de Sistemas de la Información,Presencial
